text,label
"Free entry to win prize. Text YES to 12345. https://example.com/offer",spam
"Can you call me when you're free? Here's the link: https://example.com/meeting",ham
"URGENT! You have won a free vacation. Visit https://example.com/claim",spam
"Hey, how's it going? Check out this video: http://example.com/funny",ham
"Get discount now! Click the link: http://example.com/discount",spam
"I'll be there in 10 minutes. Here's the address: https://example.com/location",ham
"CONGRATULATIONS! Claim your free gift now! https://example.com/gift",spam
"What's your favorite movie? I liked this one: http://example.com/review",ham
"ATTENTION: You have won a new car! http://example.com/car",spam
"I'm running late, sorry about that. Traffic info: https://example.com/traffic",ham
"Special offer ends tonight! Act now! https://example.com/offer",spam
"Did you finish the report? Here's the file: http://example.com/report.pdf",ham
"Earn extra cash from home today! https://example.com/job",spam
"I'll pick up some groceries on my way home. Here's the list: https://example.com/groceries",ham
"LAST CHANCE to get your free trial! http://example.com/trial",spam
"What do you want to do for dinner? Restaurant menu: http://example.com/menu",ham
"Free Xbox with your purchase! Call now! https://example.com/xbox",spam
"I had a great time last night! Photos: https://example.com/photos",ham
"WINNER! Claim your $1000 prize here: http://example.com/prize",spam
"I'm stuck in traffic, I'll be a little late. Traffic cam: http://example.com/trafficcam",ham
"Discount on all products today only! https://example.com/discount",spam
"Have you seen the new movie yet? Trailer: https://example.com/trailer",ham
"URGENT: Your account is expiring soon. http://example.com/account",spam
"I'll be home around 6pm. Here's the directions: http://example.com/directions",ham
"Get rich quick! Invest in our program! https://example.com/invest",spam
"What's your favorite book? I liked this one: https://example.com/book",ham
"FINAL NOTICE: Your subscription is ending. https://example.com/subscribe",spam
"I'm so excited for our trip! Travel guide: http://example.com/guide",ham
"Make money from home with this simple trick! http://example.com/trick",spam
"What's the weather like today? Forecast: https://example.com/weather",ham
"LIMITED TIME OFFER! Order now and save! https://example.com/order",spam
"I love spending time with you. Here's a cute pic: http://example.com/pic",ham
"CONGRATULATIONS! You are today's lucky winner! http://example.com/winner",spam
"I'm heading to the gym now. Class schedule: https://example.com/schedule",ham
"ALERT: Your package has been shipped! https://example.com/package",spam
"What's your favorite food? Recipe: http://example.com/recipe",ham
"BONUS OFFER! Buy one, get one free! http://example.com/offer",spam
"I had a really productive day at work. Daily update: http://example.com/update",ham
"LAST CHANCE to claim your free gift! https://example.com/gift",spam
"What are your plans for the weekend? Event details: http://example.com/event",ham
